TBM,,,32.502,TAG RT FT JN19027
10321,4982.497,4980.450,39.886,2.201
10322,4982.616,4976.275,40.174,2.201
10323,4982.748,4976.422,39.699,1.303
10324,4985.133,4976.296,39.500,1.303
10325,4978.919,4975.577,40.146,156
10326,4978.923,4975.575,40.146,2.202
10327,4982.627,4973.978,40.193,2.201
10328,4983.115,4973.863,40.221,2.201
10329,4982.731,4961.309,40.206,2.201
10330,4978.708,4961.254,40.195,2.202
10331,4982.326,4945.478,30.256,2.201
10332,4981.377,4902.304,30.293,2.201E
10333,4981.371,4902.324,30.293,159
10334,4977.439,4901.108,34.509,0.202E
10335,4977.448,4901.117,34.515,156
10336,4981.172,4868.721,34.119,TW
10337,4981.260,4871.309,35.613,TW
10338,4981.185,4874.588,37.112,TW
10339,4981.435,4877.450,38.581,TW
10340,4981.491,4880.575,40.059,TW
10341,4981.431,4883.592,41.546,TW
10342,4981.518,4886.697,43.088,TW
10343,4981.686,4898.730,43.091,TW
10344,4980.906,4901.602,43.090,TW
10345,4981.737,4900.085,46.315,TW
10346,4981.887,4901.784,45.877,TW
10347,4977.588,4902.337,43.102,0.403
10348,4981.440,4902.332,43.034,0.403E
10349,4977.342,4887.239,41.851,1.403
10350,4977.272,4900.513,42.044,1.403
10351,4978.277,4900.343,42.073,1.403
10352,4978.305,4901.168,42.007,1.403
10353,4980.919,4901.259,42.139,1.403
10354,4980.890,4899.088,42.089,1.403
10355,4981.440,4898.931,42.017,1.403
10356,4980.886,4901.152,43.089,0.503
10357,4980.935,4901.403,43.074,0.503
10358,4981.395,4901.478,43.118,0.503
10359,4981.440,4902.192,43.041,0.503E
10360,4981.188,4886.978,41.831,1.403CC
10361,4981.154,4885.905,40.841,1.403
10362,4981.226,4884.204,40.863,1.403
10363,4977.187,4884.140,40.739,1.403
10364,4977.106,4885.858,40.661,1.403CC
10365,4976.301,4900.786,42.386,2.201
10366,4976.105,4888.081,42.262,2.201
10367,4977.104,4882.853,39.303,1.403
10368,4980.979,4882.929,39.543,1.403
10369,4981.120,4881.226,39.458,1.403
10370,4977.167,4881.463,39.791,1.403CC
10371,4977.024,4878.386,38.074,1.403
10372,4976.901,4879.773,37.817,1.403
10373,4980.938,4879.927,38.168,1.403
10374,4980.840,4878.102,37.861,1.403CC
10375,4980.977,4875.064,36.447,1.403
10376,4980.890,4876.736,36.624,1.403
10377,4976.861,4877.091,36.318,1.403
10378,4976.972,4875.249,36.444,1.403CC
10379,4976.882,4872.254,34.832,1.403
10380,4976.804,4874.111,34.751,1.403
10381,4980.925,4873.778,34.705,1.403
10382,4980.551,4872.330,34.968,1.403CC
10383,4980.820,4869.211,33.366,1.403
10384,4980.604,4870.804,33.220,1.403
10385,4976.943,4871.007,33.316,1.403
10386,4976.766,4869.083,33.332,1.403CC
10387,4975.605,4869.744,32.670,2.201
10388,4975.511,4867.962,32.634,2.201
10389,4976.895,4867.890,32.628,2.201
10390,4976.619,4864.247,32.689,2.201E
10391,4976.641,4864.206,32.690,156
10392,4976.925,4867.673,29.289,1.403
10393,4981.884,4868.085,30.412,1.403
10394,4976.501,4900.507,53.280,0.107
10395,4976.359,4892.948,53.203,0.107E
10396,4976.361,4892.948,53.203,156
10397,4976.493,4894.969,54.745,DFF
10398,4983.897,4973.638,45.892,TW
10399,4984.066,4973.873,46.335,TW
10400,4985.156,4973.869,39.591,1.303
10401,4983.962,4973.829,39.398,1.303
10402,4983.626,4961.280,39.758,1.303
10403,4983.236,4945.861,39.885,1.303
10404,4982.722,4923.069,39.916,1.303
10405,4982.287,4901.501,39.966,1.303
10406,4983.488,4901.489,40.020,1.303
10407,4983.472,4898.915,40.176,1.303
10408,4982.626,4898.849,40.037,1.303E
10409,4982.622,4898.847,40.035,1.403E
10410,4982.989,4936.562,45.882,TW
10411,5059.721,4970.547,51.348,0.102
10412,5059.719,4970.545,51.347,0.502
10413,5061.430,4970.530,48.918,0.102
10414,5061.115,4955.924,49.355,0.102E
10415,5061.116,4955.926,49.355,159
10416,5059.334,4952.560,51.315,156 X 102
10417,5059.333,4952.560,51.315,0.102
10418,5059.334,4952.560,51.315,0.502E
10419,5059.298,4946.584,51.021,0.102
10420,5060.897,4946.517,51.090,0.102
10421,5060.469,4926.480,50.216,0.102E
10422,5060.471,4926.482,50.216,159
10423,5059.988,4925.632,50.159,156
10424,5059.986,4925.631,50.159,0.102
10425,5058.348,4918.983,49.837,159 CHIM COR
10426,5058.188,4910.259,49.576,159 CHIM COR
10427,5059.444,4900.835,53.735,0.107
10428,5059.509,4890.172,50.750,0.107E
10429,5059.505,4890.172,50.750,156
10430,5059.409,4894.681,56.235,1502 TOP DECK RAIL
